Metric,Mean,Std Dev,Min,Max,Unit
Users,10.0000,0.0000,10.0000,10.0000,users
Client RPS,7.9060,0.7370,6.4000,9.6000,req/s
Client Response Time,258.2113,48.9685,87.0581,304.4562,ms
Client Failure Rate,0.0000,0.0000,0.0000,0.0000,%
Tier1 Throughput,6.8556,2.2100,2.2334,8.2667,req/s
Tier1 Response Time,0.2682,0.0805,0.1372,0.3982,ms
Tier1 CPU Utilization,0.6908,0.1791,0.2524,0.9100,cores
Tier1 Replicas,1.0000,0.0000,1.0000,1.0000,pods
Tier2 Throughput,7.7904,0.3616,6.8369,8.4333,req/s
Tier2 Response Time,0.3738,0.1428,0.1358,0.6235,ms
Tier2 CPU Utilization,0.6858,0.1936,0.1504,0.9263,cores
Tier2 Replicas,1.0000,0.0000,1.0000,1.0000,pods
