Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763315874,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763315875,10,,Aggregated,0.000000,0.000000,22,22,29,35,87,87,87,87,87,87,87,9,0,22,28.419763677650028,9.286832995712757,87.2429998125881,103.0
1763315876,10,,Aggregated,0.000000,0.000000,30,59,85,87,100,420,420,420,420,420,420,17,0,30,64.67272293315652,9.286832995712757,422.46987484395504,103.0
1763315877,10,,Aggregated,3.000000,0.000000,44,87,97,210,420,920,1100,1100,1100,1100,1100,25,0,44,156.75662820227444,9.286832995712757,1117.9838329553604,103.0
1763315878,10,,Aggregated,6.000000,0.000000,55,87,100,210,420,920,1100,1100,1100,1100,1100,30,0,44,146.75589573259154,9.286832995712757,1117.9838329553604,103.0
1763315879,10,,Aggregated,7.333333,0.000000,66,97,180,210,330,920,1100,1100,1100,1100,1100,36,0,59,149.26490382964,4.077540943399072,1117.9838329553604,103.0
1763315880,10,,Aggregated,7.000000,0.000000,66,100,210,290,420,890,1100,1100,1100,1100,1100,44,0,59,167.7264601299116,3.3852499909698963,1117.9838329553604,103.0
1763315881,10,,Aggregated,6.600000,0.000000,59,97,210,240,390,890,920,1100,1100,1100,1100,51,0,59,155.9167621684644,3.3852499909698963,1117.9838329553604,103.0
1763315882,10,,Aggregated,6.666667,0.000000,66,130,240,290,420,890,920,1100,1100,1100,1100,57,0,66,169.25370240616695,3.3852499909698963,1117.9838329553604,103.0
1763315883,10,,Aggregated,6.857143,0.000000,86,180,290,330,500,890,960,1100,1100,1100,1100,68,0,85,195.67318377769826,3.3852499909698963,1117.9838329553604,103.0
1763315884,10,,Aggregated,6.500000,0.000000,97,240,310,390,650,890,960,1100,1100,1100,1100,77,0,97,218.23952754947368,3.3852499909698963,1117.9838329553604,103.0
1763315885,10,,Aggregated,6.777778,0.000000,130,250,380,420,770,960,1100,1200,1200,1200,1200,81,0,130.0,258.12802567250196,3.3852499909698963,1156.621916918084,103.0
1763315886,10,,Aggregated,7.400000,0.000000,180,360,490,650,920,1200,1800,1900,1900,1900,1900,94,0,180.0,340.0224897554739,3.3852499909698963,1879.4194171205163,103.0
1763315887,10,,Aggregated,7.600000,0.000000,180,310,440,580,890,1100,1600,1800,1900,1900,1900,103,0,180.0,327.55339679814585,3.3852499909698963,1879.4194171205163,103.0
1763315888,10,,Aggregated,7.500000,0.000000,170,270,390,500,860,1100,1600,1800,1900,1900,1900,117,0,170.0,303.405968277341,3.3852499909698963,1879.4194171205163,103.0
1763315889,10,,Aggregated,7.500000,0.000000,170,270,400,500,860,1100,1600,1800,1900,1900,1900,122,0,140.0,305.31890402723593,3.3852499909698963,1879.4194171205163,103.0
1763315890,10,,Aggregated,8.400000,0.000000,170,270,400,510,890,1100,1600,1800,1900,1900,1900,128,0,170.0,309.767868495328,3.3852499909698963,1879.4194171205163,103.0
1763315891,10,,Aggregated,8.500000,0.000000,140,250,380,490,860,1100,1600,1800,1900,1900,1900,138,0,130.0,292.8360640088204,3.3852499909698963,1879.4194171205163,103.0
1763315892,10,,Aggregated,8.500000,0.000000,130,240,360,420,830,1100,1600,1800,1900,1900,1900,147,0,130.0,281.46936676819763,3.3852499909698963,1879.4194171205163,103.0
1763315893,10,,Aggregated,8.500000,0.000000,140,240,380,420,830,1100,1400,1800,1900,1900,1900,152,0,130.0,282.78703396484303,3.3852499909698963,1879.4194171205163,103.0
1763315894,10,,Aggregated,8.800000,0.000000,150,250,390,500,880,1100,1400,1800,1900,1900,1900,160,0,140.0,296.97220283560455,3.3852499909698963,1879.4194171205163,103.0
1763315895,10,,Aggregated,8.700000,0.000000,150,250,390,490,880,1100,1400,1800,1900,1900,1900,165,0,150.0,294.421602751721,3.3852499909698963,1879.4194171205163,103.0
1763315896,10,,Aggregated,8.200000,0.000000,140,250,380,420,860,1100,1400,1800,1900,1900,1900,172,0,140.0,285.7610096756997,2.1163341589272022,1879.4194171205163,103.0
1763315897,10,,Aggregated,8.200000,0.000000,140,250,380,440,830,1000,1400,1800,1900,1900,1900,181,0,140.0,284.80592862064873,2.1163341589272022,1879.4194171205163,103.0
1763315898,10,,Aggregated,8.000000,0.000000,130,240,360,420,830,1000,1400,1800,1900,1900,1900,189,0,130.0,275.2506618040599,2.1163341589272022,1879.4194171205163,103.0
1763315899,10,,Aggregated,7.900000,0.000000,120,240,340,410,830,1000,1400,1800,1900,1900,1900,198,0,120.0,266.3848652925361,2.1163341589272022,1879.4194171205163,103.0
1763315900,10,,Aggregated,7.000000,0.000000,130,240,380,440,830,1000,1400,1600,1900,1900,1900,204,0,130.0,276.0135275482967,2.1163341589272022,1879.4194171205163,103.0
1763315901,10,,Aggregated,7.500000,0.000000,130,250,380,440,830,1000,1400,1600,1900,1900,1900,213,0,130.0,275.8685005588256,2.1163341589272022,1879.4194171205163,103.0
1763315902,10,,Aggregated,7.300000,0.000000,140,240,380,440,830,1000,1400,1600,1900,1900,1900,219,0,140.0,271.8886550299007,2.1163341589272022,1879.4194171205163,103.0
1763315903,10,,Aggregated,7.200000,0.000000,130,240,360,420,790,1000,1400,1600,1900,1900,1900,222,0,130.0,269.3466946067339,2.1163341589272022,1879.4194171205163,103.0
1763315904,10,,Aggregated,7.400000,0.000000,130,240,340,410,790,1000,1400,1600,1900,1900,1900,228,0,130.0,264.62503250488163,2.1163341589272022,1879.4194171205163,103.0
1763315905,10,,Aggregated,7.100000,0.000000,130,240,340,410,770,1000,1400,1600,1900,1900,1900,232,0,130.0,261.52470867161577,2.1163341589272022,1879.4194171205163,103.0
